country,country_code,date,download_kbps,upload_kbps,total_tests,distance_miles
United States,US,1/1/2008,5962.06,925.211,1666258,127.944
United States,US,1/2/2008,6002.74,927.547,1673994,128.022
United States,US,1/3/2008,6040.98,929.717,1680703,127.997
United States,US,1/4/2008,6031.44,929.833,1686670,127.961
United States,US,1/5/2008,6029.91,927.522,1691219,127.742
United States,US,1/6/2008,6025.24,925.454,1690589,127.502
United States,US,1/7/2008,6004.71,927.648,1697101,127.728
United States,US,1/8/2008,5987.63,929.857,1711003,128.046
United States,US,1/9/2008,5976.37,930.001,1719616,128.244
United States,US,1/10/2008,5965.06,929.786,1727328,128.406
United States,US,1/11/2008,5948.89,929.154,1731504,128.579
United States,US,1/12/2008,5945.84,926.458,1735513,128.423
United States,US,1/13/2008,5933.09,923.351,1739052,128.254
United States,US,1/14/2008,5912.92,925.063,1751182,128.509
United States,US,1/15/2008,5899.75,928.065,1773941,128.822
United States,US,1/16/2008,5889.85,929.09,1787361,128.949
United States,US,1/17/2008,5872.11,928.328,1804650,129.063
United States,US,1/18/2008,5866.46,929.394,1813790,129.094
United States,US,1/19/2008,5867.69,926.464,1829363,128.991
United States,US,1/20/2008,5870.86,924.524,1835468,128.78
United States,US,1/21/2008,5850.86,925.124,1853709,128.781
United States,US,1/22/2008,5845.54,927.44,1875807,128.925
United States,US,1/23/2008,5841.31,929.74,1902177,129.037
United States,US,1/24/2008,5841.34,932.907,1935623,129.254
United States,US,1/25/2008,5847.09,934.854,1948187,129.308
United States,US,1/26/2008,5857.32,934.961,1956476,129.149
United States,US,1/27/2008,5865.15,934.283,1957433,129.021
United States,US,1/28/2008,5861.07,937.022,1970254,129.153
United States,US,1/29/2008,5858.41,939.567,1989874,129.298
United States,US,1/30/2008,5855.51,940.286,2009659,129.406
United States,US,1/31/2008,5862.07,943.906,2028131,129.626
United States,US,2/1/2008,5868.72,944.879,2033909,129.84
United States,US,2/2/2008,5880.38,943.308,2038704,130.048
United States,US,2/3/2008,5888.11,940.931,2029152,129.976
United States,US,2/4/2008,5879.91,942.39,2032711,130.278
United States,US,2/5/2008,5881.26,944.552,2046528,130.557
United States,US,2/6/2008,5888.12,945.56,2054087,130.693
United States,US,2/7/2008,5894.59,945.875,2058799,130.766
United States,US,2/8/2008,5905.84,946.642,2061510,130.763
United States,US,2/9/2008,5926.42,945.968,2065025,130.551
United States,US,2/10/2008,5934.6,944.185,2066217,130.291
United States,US,2/11/2008,5934.19,946.514,2073876,130.43
United States,US,2/12/2008,5933.77,949.339,2091007,130.668
United States,US,2/13/2008,5953.41,952.36,2077828,130.769
United States,US,2/14/2008,5973.5,955.148,2052829,130.847
United States,US,2/15/2008,5974.95,956.764,2035132,130.889
United States,US,2/16/2008,5958.81,955.341,2026211,130.612
United States,US,2/17/2008,5968.86,952.973,2019649,130.406
United States,US,2/18/2008,5964.94,955.64,2020405,130.504
United States,US,2/19/2008,5966.37,958.416,2029849,130.688
United States,US,2/20/2008,5988.79,960.529,2027756,130.814
United States,US,2/21/2008,5999.21,961.156,2036174,130.749
United States,US,2/22/2008,6011.02,962.092,2040127,130.655
United States,US,2/23/2008,6028.67,960.478,2039906,130.398
United States,US,2/24/2008,6043.2,958.726,2035892,130.138
United States,US,2/25/2008,6042.56,961.71,2036372,130.239
United States,US,2/26/2008,6044.4,964.822,2048243,130.445
United States,US,2/27/2008,6050.73,964.988,2051658,130.408
United States,US,2/28/2008,6060.32,966.015,2056225,130.403
United States,US,2/29/2008,6075.9,968.396,2056613,130.362
United States,US,3/1/2008,6091.12,967.138,2058187,130.034
United States,US,3/2/2008,6103.6,966.826,2053131,129.554
United States,US,3/3/2008,6090.84,966.373,2079638,129.039
United States,US,3/4/2008,6091.48,969.1,2101498,129.211
United States,US,3/5/2008,6104.65,970.736,2109866,129.183
United States,US,3/6/2008,6110.65,971.496,2112928,129.244
United States,US,3/7/2008,6114,971.382,2116055,129.291
United States,US,3/8/2008,6127.13,970.216,2122778,129.138
United States,US,3/9/2008,6130.46,968.54,2118122,128.974
United States,US,3/10/2008,6118.85,969.857,2122295,129.282
United States,US,3/11/2008,6118.28,972.822,2132395,129.585
United States,US,3/12/2008,6120.92,973.181,2136385,129.754
United States,US,3/13/2008,6130.71,973.827,2138399,129.757
United States,US,3/14/2008,6126.56,972.264,2159383,129.627
United States,US,3/15/2008,6123.81,968.259,2184211,129.355
United States,US,3/16/2008,6133.84,965.192,2198393,129.051
United States,US,3/17/2008,6163.83,968.291,2211400,129.235
United States,US,3/18/2008,6159.91,970.774,2230846,129.373
United States,US,3/19/2008,6162.87,971.65,2238965,129.417
United States,US,3/20/2008,6164.11,972.004,2246992,129.446
United States,US,3/21/2008,6169.56,972.572,2253216,129.282
United States,US,3/22/2008,6181.13,971.512,2246749,129.08
United States,US,3/23/2008,6187.44,969.278,2234784,128.856
United States,US,3/24/2008,6178.77,970.841,2239537,128.98
United States,US,3/25/2008,6172.01,972.879,2256822,129.12
United States,US,3/26/2008,6177.77,971.903,2264347,129.059
